Company Name,Industry,Symbol,Series,ISIN Code
ABB India Ltd.,INDUSTRIAL MANUFACTURING,ABB,EQ,INE117A01022
ACC Ltd.,CEMENT & CEMENT PRODUCTS,ACC,EQ,INE012A01025
Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,AMBUJACEM,EQ,INE079A01024
Ashok Leyland Ltd.,AUTOMOBILE,ASHOKLEY,EQ,INE208A01029
Aurobindo Pharma Ltd.,PHARMA,AUROPHARMA,EQ,INE406A01037
Avenue Supermarts Ltd.,CONSUMER GOODS,DMART,EQ,INE192R01011
Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES,BAJAJHLDNG,EQ,INE118A01012
Bandhan Bank Ltd.,FINANCIAL SERVICES,BANDHANBNK,EQ,INE545U01014
Bank of Baroda,FINANCIAL SERVICES,BANKBARODA,EQ,INE028A01039
Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING,BHEL,EQ,INE257A01026
Biocon Ltd.,PHARMA,BIOCON,EQ,INE376G01013
Bosch Ltd.,AUTOMOBILE,BOSCHLTD,EQ,INE323A01026
Cadila Healthcare Ltd.,PHARMA,CADILAHC,EQ,INE010B01027
Colgate Palmolive (India) Ltd.,CONSUMER GOODS,COLPAL,EQ,INE259A01022
Container Corporation of India Ltd.,SERVICES,CONCOR,EQ,INE111A01025
DLF Ltd.,CONSTRUCTION,DLF,EQ,INE271C01023
Dabur India Ltd.,CONSUMER GOODS,DABUR,EQ,INE016A01026
Divi's Laboratories Ltd.,PHARMA,DIVISLAB,EQ,INE361B01024
General Insurance Corporation of India,FINANCIAL SERVICES,GICRE,EQ,INE481Y01014
Godrej Consumer Products Ltd.,CONSUMER GOODS,GODREJCP,EQ,INE102D01028
HDFC Asset Management Company Ltd.,FINANCIAL SERVICES,HDFCAMC,EQ,INE127D01025
HDFC Life Insurance Company Ltd.,FINANCIAL SERVICES,HDFCLIFE,EQ,INE795G01014
Havells India Ltd.,CONSUMER GOODS,HAVELLS,EQ,INE176B01034
Hindustan Petroleum Corporation Ltd.,ENERGY,HINDPETRO,EQ,INE094A01015
Hindustan Zinc Ltd.,METALS,HINDZINC,EQ,INE267A01025
ICICI Lombard General Insurance Company Ltd.,FINANCIAL SERVICES,ICICIGI,EQ,INE765G01017
ICICI Prudential Life Insurance Company Ltd.,FINANCIAL SERVICES,ICICIPRULI,EQ,INE726G01019
InterGlobe Aviation Ltd.,SERVICES,INDIGO,EQ,INE646L01027
L&T Finance Holdings Ltd.,FINANCIAL SERVICES,L&TFH,EQ,INE498L01015
Lupin Ltd.,PHARMA,LUPIN,EQ,INE326A01037
MRF Ltd.,AUTOMOBILE,MRF,EQ,INE883A01011
Marico Ltd.,CONSUMER GOODS,MARICO,EQ,INE196A01026
Motherson Sumi Systems Ltd.,AUTOMOBILE,MOTHERSUMI,EQ,INE775A01035
NHPC Ltd.,ENERGY,NHPC,EQ,INE848E01016
NMDC Ltd.,METALS,NMDC,EQ,INE584A01023
Oracle Financial Services Software Ltd.,IT,OFSS,EQ,INE881D01027
Page Industries Ltd.,TEXTILES,PAGEIND,EQ,INE761H01022
Petronet LNG Ltd.,ENERGY,PETRONET,EQ,INE347G01014
Pidilite Industries Ltd.,CHEMICALS,PIDILITIND,EQ,INE318A01026
Piramal Enterprises Ltd.,PHARMA,PEL,EQ,INE140A01024
Procter & Gamble Hygiene & Health Care Ltd.,CONSUMER GOODS,PGHH,EQ,INE179A01014
SBI Life Insurance Company Ltd.,FINANCIAL SERVICES,SBILIFE,EQ,INE123W01016
Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,SHREECEM,EQ,INE070A01015
Shriram Transport Finance Co. Ltd.,FINANCIAL SERVICES,SRTRANSFIN,EQ,INE721A01013
Siemens Ltd.,INDUSTRIAL MANUFACTURING,SIEMENS,EQ,INE003A01024
Steel Authority of India Ltd.,METALS,SAIL,EQ,INE114A01011
The New India Assurance Company Ltd.,FINANCIAL SERVICES,NIACL,EQ,INE470Y01017
United Breweries Ltd.,CONSUMER GOODS,UBL,EQ,INE686F01025
United Spirits Ltd.,CONSUMER GOODS,MCDOWELL-N,EQ,INE854D01024
Vodafone Idea Ltd.,TELECOM,IDEA,EQ,INE669E01016
